Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
6sense,https://www.crunchbase.com/organization/6sense,$100M to $500M,"Artificial Intelligence (AI), B2B, Big Data, Business Information Systems, Machine Learning","San Francisco, California, United States",6sense is an account-based marketing platform that helps B2B organizations achieve predictable revenue growth.,523,1-Jan-13,year,1001-5000,Debt Financing,Private,Late Stage Venture,22-Jun-23,100000000,USD,100000000,526000000,USD,526000000,Series E,10,200000000,USD,200000000,426000000,USD,426000000,"Blue Owl, Y Combinator, Insight Partners, B Capital, Battery Ventures",21,10,http://www.6sense.com,"Amanda Kahlow, Premal Shah, Viral Bajaria",3,US
Boston Metal,https://www.crunchbase.com/organization/boston-metal,$1M to $10M,"Building Material, CleanTech, Industrial Manufacturing, Manufacturing, Precious Metals","Woburn, Massachusetts, United States",Boston Metal is a metals production company that develops an electric-powered tech to decarbonize steelmaking and metal production.,530,1-Jan-12,year,251-500,Convertible Note,Private,Late Stage Venture,10-Jul-25,51000000,USD,51000000,403746978,USD,403746978,Series C,11,20000000,USD,20000000,352000000,USD,352000000,"National Science Foundation, International Finance Corporation, Energy Impact Partners, ArcelorMittal, Marunouchi Innovation Partners",24,7,https://bostonmetal.com,"Antoine Allanore, Donald Sadoway, Jim Yurko",3,US
Octane,https://www.crunchbase.com/organization/octane-lending,$1M to $10M,"Credit, Financial Services, FinTech, Lending","New York, New York, United States",Octane is a financial technology company that focuses on providing financing solutions for recreational purchases.,562,1-Jan-14,year,501-1000,Debt Financing,Private,Late Stage Venture,15-Apr-25,700000000,USD,700000000,3324015898,USD,3324015898,Series E,20,50000000,USD,50000000,221215898,USD,221215898,"Gaingels, Contour Venture Partners, FundersClub, FinTech Collective, Citi Ventures",21,6,http://octane.co,"Andre Gregori, Daniel Petkevich, Maria Aveledo, Mark Davidson, Mark Garro, Michael Fanfant",6,US
Sysdig,https://www.crunchbase.com/organization/sysdig,$1M to $10M,"Cloud Computing, Cloud Security, Cyber Security, Open Source, SaaS, Security","San Francisco, California, United States",The leader in cloud security powered by runtime insights,761,1-Jan-13,year,501-1000,Series G,Private,Late Stage Venture,15-Dec-21,350000000,USD,350000000,729500000,USD,729500000,Series G,9,350000000,USD,350000000,729500000,USD,729500000,"Accel, Insight Partners, Goldman Sachs, Bain Capital Ventures, Guggenheim Partners",13,6,https://www.sysdig.com,Loris Degioanni,1,US
Teamworks,https://www.crunchbase.com/organization/teamworks,$10M to $50M,"Information Technology, Operating Systems, Software, Sports, Training","Durham, North Carolina, United States","Teamworks is an operating system for sports that supports talent acquisition, seamless operations, and holistic performance development.",795,1-Jan-09,year,251-500,Series F,Private,Late Stage Venture,17-Jun-25,235000000,USD,235000000,422151452,USD,422151452,Series F,8,235000000,USD,235000000,422151452,USD,422151452,"General Catalyst, Delta-v Capital, Teamworthy Ventures, Dragoneer Investment Group, Seaport Capital",17,4,http://www.teamworks.com,"Mitch Heath, Shaun Powell, Zachary Maurides",3,US
Helm.ai,https://www.crunchbase.com/organization/helm-ai,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Software","Redwood City, California, United States","Helm.ai develops AI software for driver assistance systems, autonomous driving, and robotics.",941,1-Jan-16,year,51-100,Grant,Private,Late Stage Venture,17-Nov-23,10000000,USD,10000000,165000000,USD,165000000,Series C,9,55000000,USD,55000000,155000000,USD,155000000,"SV Angel, Amplo, Sound Ventures, One Way Ventures, Fontinalis Partners",28,4,https://helm.ai,"Tudor Achim, Vlad Voroninski",2,US
Mainspring Energy,https://www.crunchbase.com/organization/etagen,,"Clean Energy, Energy, Oil and Gas","Menlo Park, California, United States",Mainspring Energy provides power generation technology using linear generators for clean energy.,1092,1-Jan-10,year,251-500,Series F,Private,Late Stage Venture,14-Apr-25,258000000,USD,258000000,813000000,USD,813000000,Series F,8,258000000,USD,258000000,726000000,USD,726000000,"General Catalyst, Temasek Holdings, Khosla Ventures, Alumni Ventures, DCVC",32,5,https://mainspringenergy.com,"Adam Simpson, Matt Svrcek, Shannon Miller",3,US
Sunbit,https://www.crunchbase.com/organization/sunbit,$1M to $10M,"Finance, Financial Services, FinTech","Los Angeles, California, United States",Sunbit offers pay-over-time technology that allows users to finance everyday expenses by dividing payments into manageable installments.,1158,1-Jan-16,year,501-1000,Debt Financing,Private,Late Stage Venture,4-Nov-24,355000000,USD,355000000,1124970000,USD,1124970000,Series D,9,130000000,USD,130000000,209970000,USD,209970000,"Citi, Alumni Ventures, Ares Management, JP Morgan, G Squared",22,8,http://sunbit.com,"Arad Levertov, Ornit Dweck-Maizel, Tal Riesenfeld, Tamir Hazan",4,US
Illumio,https://www.crunchbase.com/organization/illumio,$100M to $500M,"Cloud Security, Cyber Security, Data Center, SaaS, Security","Sunnyvale, California, United States","Illumio, the breach containment leader",1172,1-Jan-13,year,501-1000,Series F,Private,Late Stage Venture,23-Jun-21,225000000,USD,225000000,557500000,USD,557500000,Series F,6,225000000,USD,225000000,557500000,USD,557500000,"Andreessen Horowitz, General Catalyst, BlackRock, Accel, Thoma Bravo",26,6,http://www.illumio.com,"Alan Stokol, Andrew Rubin, PJ Kirner",3,US
Swing Education,https://www.crunchbase.com/organization/swing-education,$1M to $10M,"E-Learning, EdTech, Education, Recruiting","San Mateo, California, United States",Swing Education develops a substitute teaching platform to provide substitute teachers to fill staff absences.,1287,1-Jan-15,year,501-1000,Debt Financing,Private,Late Stage Venture,15-Jul-25,8000000,USD,8000000,68840000,USD,68840000,Series C,4,38000000,USD,38000000,60840000,USD,60840000,"Reach Capital, 500 Global, Ulu Ventures, Kapor Capital, Apax Partners",14,5,http://www.swingeducation.com,"Asha Visweswaran, Mike Teng, Oz Feng",3,US
Kiavi,https://www.crunchbase.com/organization/lendinghome,$10M to $50M,"Financial Services, FinTech, Lending, Real Estate, Real Estate Investment","San Francisco, California, United States",Kiavi is a tech-enabled lender that provides residential real estate investors with financing solutions for property investments.,1354,1-Jan-13,year,251-500,Debt Financing,Private,Late Stage Venture,13-Feb-25,300000000,USD,300000000,1098900000,USD,1098900000,Series E,10,75000000,USD,75000000,240900000,USD,240900000,"First Round Capital, FJ Labs, Foundation Capital, Ribbit Capital, Benefit Street Partners",21,4,https://www.kiavi.com,"James Herbert, Josh Stech, Matt Humphrey",3,US
Rokt,https://www.crunchbase.com/organization/rokt,$1M to $10M,"B2B, Big Data, Data Integration, E-Commerce, Marketing, Marketing Automation","New York, New York, United States",Rokt is an ecommerce marketing technology that enhances the value of transactions through personalized experiences.,1359,1-Jan-12,year,501-1000,Secondary Market,Private,Late Stage Venture,16-Jan-25,335000000,USD,335000000,822000000,USD,822000000,Series E,8,325000000,USD,325000000,487000000,USD,487000000,"Wellington Management, Tiger Global Management, Square Peg Capital, Five V Capital, Pavilion Capital",18,5,https://www.rokt.com,"Ben Voltz, Bruce Buchanan, Justin Viles",3,US
SingleStore,https://www.crunchbase.com/organization/memsql,$10M to $50M,"Analytics, Big Data, Cloud Data Services, Database, Enterprise Software, Software","San Francisco, California, United States",SingleStore is a provider of a database for operational analytics and cloud-native applications.,1416,1-Jan-11,year,251-500,Series F,Private,Late Stage Venture,3-Oct-22,30000000,USD,30000000,464100000,USD,464100000,Series F,11,30000000,USD,30000000,414100000,USD,414100000,"Khosla Ventures, Accel, Insight Partners, Goldman Sachs, Y Combinator",36,11,https://www.singlestore.com/,"Adam Prout, Eric Frenkiel, Mohd Fairuz Razi bin Sharuddin, Nikita Shamgunov",4,US
TelevisaUnivision,https://www.crunchbase.com/organization/televisaunivision,$1B to $10B,"Digital Media, Media and Entertainment, News, Social Media Marketing","Miami, Florida, United States",TelevisaUnivision is a Mexican-American media company which owns the American Spanish language broadcast network Univision.,1474,1-Jan-21,year,1001-5000,Debt Financing,Private,Late Stage Venture,18-Jan-24,240700000,USD,240700000,1740700000,USD,1740700000,Series C,3,1000000000,USD,1000000000,1000000000,USD,1000000000,"Google, The Raine Group, Sopris Capital Associates, SOFTBANK Latin America Ventures, ForgeLight",5,1,https://www.corporate.televisaunivision.com,Emilio Azcárraga Vidaurreta,1,US
Imprint,https://www.crunchbase.com/organization/imprint-cd0f,$1M to $10M,"Finance, Financial Services, FinTech, Loyalty Programs, Payments","New York, New York, United States",Imprint provides co-branded credit cards by collaborating with global brands to enhances user experience and rewards,1495,1-Jan-20,year,101-250,Debt Financing,Private,Late Stage Venture,31-Mar-25,500000000,USD,500000000,702000773,USD,702000773,Series C,6,75000000,USD,75000000,202000773,USD,202000773,"Stripe, Khosla Ventures, HSBC, Kleiner Perkins, Thrive Capital",18,9,https://www.imprint.co,"Daragh Murphy, Gaurav Ahuja, Michael Pechman",3,US
Form Energy,https://www.crunchbase.com/organization/form-energy,$100M to $500M,"Battery, Energy, Energy Storage, Power Grid, Renewable Energy","Somerville, Massachusetts, United States",Form Energy is an energy technology company that produces electric grids and accelerates the transition to clean energy.,1498,1-Jan-17,year,501-1000,Debt Financing,Private,Late Stage Venture,16-Dec-24,50000000,USD,50000000,1567765461,USD,1567765461,Series F,13,405000000,USD,405000000,1220000000,USD,1220000000,"Trinity Capital, Temasek Holdings, Inspired Capital Partners, Coatue, VamosVentures",35,12,https://www.formenergy.com,"Marco Ferrara, Mateo Jaramillo, Ted Wiley, William Woodford, Yet Chiang, Yet-Ming Chiang",6,US
ID.me,https://www.crunchbase.com/organization/id-me,$100M to $500M,"Cloud Data Services, Cyber Security, Fraud Detection, Identity Management, Privacy, Software","Mclean, Virginia, United States",ID.me is a digital identity wallet that allows users to securely prove their identity online.,1547,1-Jan-10,year,1001-5000,Debt Financing,Private,Late Stage Venture,30-Jan-25,275000000,USD,275000000,749245000,USD,749245000,Series D,23,132000000,USD,132000000,273845000,USD,273845000,"BoxGroup, Fortress Investment Group, Morgan Stanley, FTV Capital, Ares Management",39,7,https://www.ID.me,"Blake Hall, Matthew Thompson, Tanel Suurhans",3,US
Demandbase,https://www.crunchbase.com/organization/demandbase,$100M to $500M,"Advertising, Analytics, B2B, Big Data, Marketing, Marketing Automation, SaaS, Sales Automation, Software","San Francisco, California, United States","Demandbase is a company that specializes in account-based marketing, sales intelligence, and data.",1554,1-Jan-07,year,501-1000,Debt Financing,Private,Late Stage Venture,16-Feb-23,175000000,USD,175000000,318000000,USD,318000000,Series H,8,65000000,USD,65000000,143000000,USD,143000000,"Salesforce Ventures, Sageview Capital, Scale Venture Partners, Costanoa Ventures, Jackson Square Ventures",13,9,http://www.demandbase.com,Chris Golec,1,US
Altruist,https://www.crunchbase.com/organization/altruist-corp,$50M to $100M,"Asset Management, Financial Services, FinTech","Culver City, California, United States",Altruist is a modern custodian that offers a digital investment platform for financial advisors to manage their clients' investments.,1575,1-Jan-18,year,101-250,Series F,Private,Late Stage Venture,22-Apr-25,152000000,USD,152000000,601500000,USD,601500000,Series F,7,152000000,USD,152000000,601500000,USD,601500000,"Insight Partners, Adams Street Partners, Geodesic Capital, ICONIQ Growth, Endeavor Catalyst",19,5,https://altruist.com,Jason Wenk,1,US
Applied Intuition,https://www.crunchbase.com/organization/applied-intuition,$100M to $500M,"Artificial Intelligence (AI), Autonomous Vehicles, Enterprise Software, Infrastructure, Software","Mountain View, California, United States","Applied Intuition provides software infrastructure to safely develop, test, and deploy autonomous vehicles  at scale.",1581,1-Jan-17,year,501-1000,Series F,Private,Late Stage Venture,17-Jun-25,600000000,USD,600000000,1501500000,USD,1501500000,Series F,8,600000000,USD,600000000,1201500000,USD,1201500000,"Andreessen Horowitz, General Catalyst, BlackRock, Tribe Capital, Bond",43,9,https://appliedintuition.com,"Peter Ludwig, Qasar Younis",2,US
Heartflow,https://www.crunchbase.com/organization/heartflow,$10M to $50M,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical","Mountain View, California, United States",Heartflow is a medical technology company that provides various methods of diagnosis and treatment of cardiovascular disease.,1624,1-Jan-10,year,501-1000,Convertible Note,Private,Late Stage Venture,26-Mar-25,98000000,USD,98000000,890722908,USD,890722908,Series F,12,215000000,USD,215000000,782722908,USD,782722908,"Wellington Management, U.S. Venture Partners, Fidelity, Janus Henderson Investors, Capricorn Investment Group",14,3,https://www.heartflow.com,"Charles A. Taylor, Christopher K. Zarins, John Stevens",3,US
WorkFusion,https://www.crunchbase.com/organization/crowdcomputing-systems,$50M to $100M,"Artificial Intelligence (AI), Business Process Automation (BPA), Enterprise Software, Machine Learning, Productivity Tools, Robotic Process Automation (RPA), Software","New York, New York, United States",WorkFusion offers automation solutions to enterprises to help them reduce costs and up-skill workforces.,1694,1-Jan-09,year,101-250,Series F,Private,Late Stage Venture,9-Mar-21,220000000,USD,220000000,341300000,USD,341300000,Series F,7,220000000,USD,220000000,341300000,USD,341300000,"RTP Global, NGP Capital, Greycroft, Inovia Capital, Alpha Intelligence Capital",14,7,http://www.workfusion.com/,"Andrew Volkov, Max Yankelevich, Mikhail Abramchyk",3,US
GupShup,https://www.crunchbase.com/organization/gupshup-technology-india-pvt-ltd,$1M to $10M,"CRM, Information Technology, Messaging","San Francisco, California, United States",GupShup develops a conversational messaging platform designed to automate business conversations.,1770,1-Jan-04,year,1001-5000,Series F,Private,Late Stage Venture,19-May-22,100000000,USD,100000000,484130000,USD,484130000,Series F,9,100000000,USD,100000000,484130000,USD,484130000,"Tiger Global Management, CRV, Fidelity, Neuberger Berman Loan Advisers Holdings, White Oak Global Advisors",16,5,http://gupshup.io,"Beerud Sheth, Rakesh Mathur",2,US
Exo,https://www.crunchbase.com/organization/exo-systems,$1M to $10M,"Health Care, Medical, Medical Device","Redwood City, California, United States",Exo is a medical device startup which develops handheld ultrasound devices and AI for imaging and therapeutic applications.,1785,1-Jan-15,year,101-250,Debt Financing,Private,Late Stage Venture,11-Feb-25,8769317,USD,8769317,337032137,USD,337032137,Series C,8,220000000,USD,220000000,307595314,USD,307595314,"BlackRock, Sands Capital Ventures, TDK Ventures, RA Capital Management, Creative Ventures",25,6,https://www.exo.inc,"Janusz Bryzek, John Kokulis, Sandeep Akkaraju, Yusuf Haque",4,US
PayJoy,https://www.crunchbase.com/organization/payjoy,$100M to $500M,"Credit, Emerging Markets, Financial Services, FinTech, Mobile","San Francisco, California, United States",PayJoy is a financial service company that provides affordable smartphone financing to people in emerging markets.,1790,1-Jan-15,year,1001-5000,Debt Financing,Private,Late Stage Venture,5-Sep-23,210000000,USD,210000000,445650000,USD,445650000,Series C,11,150000000,USD,150000000,190000000,USD,190000000,"Citi, Warburg Pincus, 500 Global, Union Square Ventures, Greylock",44,8,https://www.payjoy.com,"Doug Ricket, Gib Lopez, Mark Heynen, Tom Ricket",4,US
Varo Bank,https://www.crunchbase.com/organization/varo-bank,$1M to $10M,"Apps, Banking, Financial Services, FinTech","San Francisco, California, United States","Varo is a digital bank that offers innovative, premium banking services wrapped in inclusive design.",1924,1-Jan-15,year,501-1000,Series G,Private,Late Stage Venture,18-Feb-25,28982355,USD,28982355,1071382355,USD,1071382355,Series G,10,28982355,USD,28982355,1066382355,USD,1066382355,"BlackRock, Gaingels, Warburg Pincus, HarbourVest Partners, Eldridge Industries",28,7,http://www.varomoney.com/,"Assaf Guery, Colin Walsh, Mykola Klymenko, Roger Van Duinen",4,US
Ursa Major,https://www.crunchbase.com/organization/ursa-major-technologies,$10M to $50M,"Aerospace, National Security, Satellite Communication, Space Travel","Berthoud, Colorado, United States","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",1943,1-Jan-15,year,251-500,Grant,Private,Late Stage Venture,19-Sep-24,12500000,USD,12500000,284329970,USD,284329970,Series D,11,38000000,USD,38000000,271829970,USD,271829970,"Alumni Ventures, BlackRock, Eclipse Ventures, Space Capital, Exor Ventures",20,6,https://www.ursamajor.com,Joe Laurienti,1,US
Emulate,https://www.crunchbase.com/organization/emulate,$10M to $50M,"Biotechnology, Health Care, Life Science, Medical","Boston, Massachusetts, United States","Emulate creates advanced in vitro models for understanding how diseases, medicines, chemicals, and foods affect human health.",2031,1-Jan-13,year,51-100,Series F,Private,Late Stage Venture,20-Mar-24,47070000,USD,47070000,271339991,USD,271339991,Series F,10,47070000,USD,47070000,250064991,USD,250064991,"Alumni Ventures, Founders Fund, Qiming Venture Partners, Perceptive Advisors, National Institutes of Health",22,5,http://emulatebio.com,"Daniel Levner, Donald Ingber, Geraldine A. Hamilton",3,US
SPR Therapeutics,https://www.crunchbase.com/organization/spr-therapeutics,$10M to $50M,"Health Care, Medical, Therapeutics","Cleveland, Ohio, United States",SPRA Therapeutics specializes in developing innovative solutions for pain management through its advanced PNS technology.,2182,1-Jan-10,year,251-500,Debt Financing,Private,Late Stage Venture,1-Feb-24,60000000,USD,60000000,188757110,USD,188757110,Series D,14,25000000,USD,25000000,108400000,USD,108400000,"Revelation Partners, JumpStart Inc., Kli Capital, SLR Capital Partners, RC Capital",12,5,https://www.sprpainrelief.com,"Geoffrey Thrope, Maria E. Bennett",2,US
Redis,https://www.crunchbase.com/organization/redis,$10M to $50M,"Analytics, Big Data, Cloud Data Services, Database, Information Technology, Open Source, SaaS, Software","San Francisco, California, United States",Redis is the world’s fastest data platform.,2216,1-Jan-11,year,501-1000,Secondary Market,Private,Late Stage Venture,16-Dec-21,1200000,USD,1200000,356800000,USD,356800000,Series G,10,110000000,USD,110000000,355600000,USD,355600000,"Bain Capital Ventures, Francisco Partners, TCV, SoftBank Vision Fund, Tiger Global Management",12,8,http://redis.io,"Ofer Bengal, Yiftach Shoolman",2,US
Vectra AI,https://www.crunchbase.com/organization/vectra-networks,$100M to $500M,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security, Software","San Jose, California, United States",Vectra AI develops an AI-driven integrated attack signal for threat detection and response.,2253,1-Jan-11,year,501-1000,Series F,Private,Late Stage Venture,29-Apr-21,130000000,USD,130000000,352540000,USD,352540000,Series F,9,130000000,USD,130000000,352540000,USD,352540000,"Accel, Khosla Ventures, Juniper Networks, TCV, Wipro Ventures",14,7,https://vectra.ai/,"Albert Marko, Hitesh Sheth, James Harlacher, Mark Abene",4,US
SnapLogic,https://www.crunchbase.com/organization/snaplogic,$100M to $500M,"Cloud Computing, Cloud Data Services, Data Management, Enterprise Software, Information Technology, PaaS, SaaS","San Mateo, California, United States",SnapLogic is a software company that provides a platform for enterprise cloud and big data integration.,2269,1-Jan-06,year,251-500,Series H,Private,Late Stage Venture,13-Dec-21,165000000,USD,165000000,371299999,USD,371299999,Series H,10,165000000,USD,165000000,371299999,USD,371299999,"Andreessen Horowitz, Sixth Street, Microsoft, Vitruvian Partners, Floodgate",17,7,http://www.snaplogic.com,Mike Pittaro,1,US
Lucidworks,https://www.crunchbase.com/organization/lucidworks,$50M to $100M,"Analytics, Cloud Computing, Open Source, SaaS, Search Engine","San Francisco, California, United States",Lucidworks connects experiences throughout the entire user journey to meet customer and employee intent in the moment.,2295,1-Jan-07,year,101-250,Series F,Private,Late Stage Venture,12-Aug-19,100000000,USD,100000000,208999999,USD,208999999,Series F,9,100000000,USD,100000000,202999999,USD,202999999,"Trinity Capital, Sixth Street, Shasta Ventures, Francisco Partners, Walden International",11,6,http://www.lucidworks.com,"Grant Ingersoll, Yonik Seeley",2,US
Sisense,https://www.crunchbase.com/organization/sisense,$100M to $500M,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Data Visualization, Enterprise Software, Information Technology, Software","New York, New York, United States",Sisense is a business analytics software company that delivers agile analytics at scale.,2465,1-Jan-04,year,501-1000,Series F,Private,Late Stage Venture,9-Jan-20,100000000,USD,100000000,274741000,USD,274741000,Series F,8,100000000,USD,100000000,274741000,USD,274741000,"Insight Partners, Bessemer Venture Partners, Battery Ventures, DFJ Growth, Access Industries",14,5,http://www.sisense.com,"Adi Azaria, Aviad Harell, Elad Israeli, Guy Boyangu",4,US
EquipmentShare,https://www.crunchbase.com/organization/equipmentshare,$1B to $10B,"Construction, Fleet Management, SaaS, Service Industry, Software","Columbia, Missouri, United States",EquipmentShare provides solutions to construction companies and equipment rental businesses through the use of technology.,2543,1-Jan-15,year,5001-10000,Debt Financing,Private,Late Stage Venture,16-Apr-24,600000000,USD,600000000,3541500000,USD,3541500000,Series E,14,150000000,USD,150000000,701500000,USD,701500000,"Gaingels, Insight Partners, Y Combinator, BDT & MSD Partners, RedBird Capital Partners",41,9,https://www.equipmentshare.com,"Brad Siegler, Jabbok Schlacks, Jeffrey Lowe, Matthew McDonald, William Schlacks",5,US
Zest AI,https://www.crunchbase.com/organization/zestfinance,$10M to $50M,"Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Machine Learning, SaaS","Burbank, California, United States",Zest AI is an AI lending technology company that leverages machine learning technology to enhance credit underwriting processes.,2557,1-Jan-09,year,101-250,Series G,Private,Late Stage Venture,13-Dec-24,200000000,USD,200000000,357730000,USD,357730000,Series G,10,200000000,USD,200000000,357730000,USD,357730000,"Insight Partners, Lightspeed Venture Partners, Matrix, Flybridge, Upfront Ventures",18,8,http://zest.ai,"Douglas Merrill, Mike de Vere, Shawn Budde",3,US
Virtual Incision,https://www.crunchbase.com/organization/virtual-incision-corporation,$1M to $10M,"Advanced Materials, Developer Platform, Health Care, Robotics","Lincoln, Nebraska, United States",Virtual Incision develops a miniaturized surgical robotic support device with a focus on colon resection.,2599,1-Jan-06,year,51-100,Debt Financing,Private,Late Stage Venture,6-May-25,7949160,USD,7949160,153949160,USD,153949160,Series C,13,30000000,USD,30000000,129700000,USD,129700000,"Arboretum Ventures, Baird Capital, NASA, Endeavour Vision, cultivate(MD)",14,5,https://virtualincision.com,"DMITRY OLEYNIKOV, Dmitry Oleynikov, Shane Farritor",3,US
Evolve,https://www.crunchbase.com/organization/evolve-vacation-rental-network,$100M to $500M,"Hospitality, Tourism, Travel, Vacation Rental","Denver, Colorado, United States",Evolve offers rental services for vacation with modern approach to hospitality and property.,2609,1-Jan-11,year,501-1000,Series F,Private,Late Stage Venture,14-Feb-22,100000000,USD,100000000,224200000,USD,224200000,Series F,6,100000000,USD,100000000,224200000,USD,224200000,"T. Rowe Price, Durable Capital Partners, Allen & Company, ArrowMark Partners, PAR Capital Management",9,3,http://evolve.com,"Adam Sherry, Brian Egan",2,US
Madison Reed,https://www.crunchbase.com/organization/madison-reed-inc,$100M to $500M,"Beauty, Consumer Goods, E-Commerce, Retail","San Francisco, California, United States",Madison Reed is a beauty company that offers hair coloring products online.,2846,1-Jan-13,year,501-1000,Debt Financing,Private,Late Stage Venture,9-Feb-23,50000000,USD,50000000,273711245,USD,273711245,Series G,15,33000000,USD,33000000,223711245,USD,223711245,"Norwest Venture Partners, Gaingels, Alumni Ventures, Goldman Sachs, Maveron",30,6,http://www.madison-reed.com,"Amy Errett, Andrew Trader, Eric Hutchinson, Sabrina Riddle",4,US
WHOOP,https://www.crunchbase.com/organization/whoop-inc,$50M to $100M,"Analytics, Fitness, Sports, Wearables, Wellness","Boston, Massachusetts, United States","WHOOP is a fitness product company that monitors sleep, strain, and recovery for athletes.",2891,1-Jan-12,year,501-1000,Series F,Private,Late Stage Venture,30-Aug-21,200000000,USD,200000000,404751000,USD,404751000,Series F,9,200000000,USD,200000000,404000000,USD,404000000,"IVP, Two Sigma Ventures, Founder Collective, Promus Ventures, CAVU Consumer Partners",37,6,http://www.whoop.com,"Aurelian Nicolae, John Capodilupo, Will Ahmed",3,US
Upgrade,https://www.crunchbase.com/organization/upgrade,$500M to $1B,"Banking, Credit, Financial Services, FinTech, Mobile","San Francisco, California, United States",Upgrade is a fintech company that offers credit and mobile banking to mainstream consumers.,3036,1-Jan-16,year,1001-5000,Series F,Private,Late Stage Venture,16-Nov-21,280000000,USD,280000000,587000000,USD,587000000,Series F,7,280000000,USD,280000000,587000000,USD,587000000,"Sands Capital Ventures, Union Square Ventures, Coatue, Ribbit Capital, DST Global",31,5,http://www.upgrade.com,"Adelina Grozdanova, Jeff Bogan, Matt Wierman, Renaud Laplanche, Soul Htite, Visar Nimani",6,US
24M Technologies,https://www.crunchbase.com/organization/24m-technologies,$10M to $50M,"Battery, Energy Storage, Manufacturing","Cambridge, Massachusetts, United States",24M Technologies develops energy storage systems for grid and transportation applications.,3082,1-Jan-10,year,101-250,Series H,Private,Late Stage Venture,5-Sep-24,87000000,USD,87000000,184830085,USD,184830085,Series H,7,87000000,USD,87000000,181632000,USD,181632000,"CRV, Volkswagen Group, US Department of Energy, Asahi Kasei, Kyocera",16,8,http://24-m.com,"Throop Wilder, W. Craig Carter, Yet Chiang, Yet-Ming Chiang",4,US
Inari,https://www.crunchbase.com/organization/inari-8d6b,$100M to $500M,"Agriculture, AgTech, Biotechnology, Sustainability","Cambridge, Massachusetts, United States",Inari is a seed design and biotechnology company developing seeds for a nature-positive food system.,3147,1-Jan-16,year,251-500,Series G,Private,Late Stage Venture,7-Jan-25,144000000,USD,144000000,753000000,USD,753000000,Series G,8,144000000,USD,144000000,708000000,USD,708000000,"Flagship Pioneering, G Squared, EDBI, Acre Venture Partners, Pavilion Capital",18,4,http://www.inari.com,"David Berry, Ignacio Martinez, John Casey",3,US
Route 92 Medical,https://www.crunchbase.com/organization/route-92-medical,$1M to $10M,"Health Care, Hospital, Medical","San Mateo, California, United States",Route 92 Medical is a medical device company developing a catheter to treat stroke.,3150,1-Jan-15,year,11-50,Series F,Private,Late Stage Venture,23-Sep-24,50000000,USD,50000000,221483582,USD,221483582,Series F,8,50000000,USD,50000000,166483582,USD,166483582,"Norwest Venture Partners, U.S. Venture Partners, Novo Holdings, Runway Growth Capital, InnovaHealth Partners",6,4,http://www.r92m.com,"Joey English, Scott Wilson, Tony Chou",3,US
AlphaSense,https://www.crunchbase.com/organization/alphasense,$1M to $10M,"Analytics, Artificial Intelligence (AI), Machine Learning, Market Research, SaaS, Search Engine","New York, New York, United States","AlphaSense is a platform harnessing AI to deliver insights, helping professionals make informed, impactful decisions.",3294,1-Jan-08,year,1001-5000,Series F,Private,Late Stage Venture,11-Jun-24,650000000,USD,650000000,1420053806,USD,1420053806,Series F,12,650000000,USD,650000000,1390000347,USD,1390000347,"Blue Owl, BlackRock, Citi, Bond, Bank of America",32,10,https://www.alpha-sense.com/,"Jack Kokko, Raj Neervannan",2,US
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,$1M to $10M,"Family, Health Care, mHealth, Women's","New York, New York, United States",Maven is a digital health platform that works with health plans and employers to offer virtual services for women’s and family health.,3409,1-Jan-14,year,1001-5000,Series F,Private,Late Stage Venture,8-Oct-24,125000000,USD,125000000,417100000,USD,417100000,Series F,8,125000000,USD,125000000,417100000,USD,417100000,"General Catalyst, Bond, Sequoia Capital, StepStone Group, BoxGroup",44,10,http://www.mavenclinic.com,"Katherine Ryder, Suzie Grange",2,US
STAUD,https://www.crunchbase.com/organization/staud,Less than $1M,"E-Commerce, Fashion, Online Portals, Wearables","Los Angeles, California, United States",STAUD is a ready-to-wear online clothing line which offers collections of chic essentials and stand-alone pieces.,3612,1-Jan-15,year,11-50,Series F,Private,Late Stage Venture,27-May-25,28964981,USD,28964981,32769846,USD,32769846,Series F,4,28964981,USD,28964981,32769846,USD,32769846,Burch Creative Capital,1,,http://staud.clothing,"George Augusto, Sarah Staudinger",2,US
